,1 1 -0.0007 -0.0004 100.0 518.67 641.82 1589.70 1400.60 14.62 21.61 554.36 2388.06 9046.19 1.30 47.47 521.66 2388.02 8138.62 8.4195 0.03 392 2388 100.00 39.06 23.4190  
4129,20 197 -0.0025 0.0004 100.0 518.67 642.81 1594.41 1411.02 14.62 21.61 552.88 2388.15 9066.44 1.30 47.99 520.28 2388.21 8140.37 8.4787 0.03 395 2388 100.00 38.68 23.1269  
4130,20 198 -0.0019 -0.0004 100.0 518.67 642.69 1599.15 1421.81 14.62 21.61 552.03 2388.19 9062.13 1.30 47.90 521.20 2388.18 8139.42 8.4840 0.03 394 2388 100.00 38.55 23.1019  
4131,20 199 0.0035 0.0004 100.0 518.67 643.57 1591.15 1418.58 14.62 21.61 552.39 2388.15 9066.65 1.30 48.06 520.81 2388.18 8142.44 8.5218 0.03 394 2388 100.00 38.63 23.2158  
4132,20 200 0.0006 0.0001 100.0 518.67 642.95 1595.89 1422.65 14.62 21.61 552.27 2388.15 9067.13 1.30 47.86 520.99 2388.15 8143.12 8.4909 0.03 395 2388 100.00 38.52 23.2385  
4133,20 201 -0.0034 0.0002 100.0 518.67 643.24 1593.58 1417.28 14.62 21.61 551.49 2388.21 9065.01 1.30 47.92 520.29 2388.18 8143.49 8.4816 0.03 395 2388 100.00 38.52 23.0700  
4134,20 202 0.0021 0.0003 100.0 518.67 643.03 1588.35 1415.63 14.62 21.61 552.29 2388.21 9071.69 1.30 47.84 520.29 2388.23 8144.02 8.4862 0.03 395 2388 100.00 38.67 23.2210  
4135,20 203 0.0004 -0.0005 100.0 518.67 643.50 1600.79 1421.12 14.62 21.61 552.29 2388.16 9071.40 1.30 47.76 520.46 2388.23 8141.57 8.4590 0.03 396 2388 100.00 38.58 23.0613  
4136,20 204 -0.0020 0.0003 100.0 518.67 642.54 1601.47 1433.21 14.62 21.61 552.04 2388.16 9067.04 1.30 48.15 519.72 2388.17 8140.49 8.4656 0.03 396 2388 100.00 38.47 23.1044  
4137,20 205 0.0008 -0.0003 100.0 518.67 642.60 1594.30 1425.26 14.62 21.61 552.45 2388.24 9075.76 1.30 47.72 520.23 2388.23 8142.39 8.4833 0.03 395 2388 100.00 38.60 23.1094  
4138,20 206 0.0011 -0.0004 100.0 518.67 643.05 1597.72 1411.04 14.62 21.61 551.41 2388.19 9062.43 1.30 47.92 520.33 2388.17 8140.91 8.4703 0.03 396 2388 100.00 38.87 23.2369  
4139,20 207 0.0003 0.0000 100.0 518.67 643.37 1596.99 1424.85 14.62 21.61 551.63 2388.19 9071.75 1.30 47.99 520.53 2388.18 8140.09 8.4903 0.03 395 2388 100.00 38.53 23.0670  
4140,20 208 0.0043 0.0005 100.0 518.67 642.78 1599.24 1426.51 14.62 21.61 552.09 2388.20 9067.88 1.30 48.09 520.71 2388.15 8146.76 8.4899 0.03 394 2388 100.00 38.52 23.1406  
4141,20 209 -0.0010 -0.0003 100.0 518.67 642.97 1601.54 1420.31 14.62 21.61 551.36 2388.18 9064.77 1.30 47.89 520.43 2388.18 8146.54 8.4785 0.03 395 2388 100.00 38.58 23.0521  
4142,20 210 -0.0011 -0.0002 100.0 518.67 643.66 1597.72 1420.29 14.62 21.61 552.33 2388.20 9071.39 1.30 47.96 519.74 2388.22 8141.74 8.4903 0.03 395 2388 100.00 38.58 23.2342  
4143,20 211 -0.0005 -0.0003 100.0 518.67 643.74 1595.32 1420.74 14.62 21.61 551.78 2388.25 9068.59 1.30 48.13 520.24 2388.23 8144.78 8.5043 0.03 396 2388 100.00 38.49 23.2040  
4144,20 212 -0.0035 0.0004 100.0 518.67 643.60 1601.16 1420.51 14.62 21.61 552.08 2388.21 9071.16 1.30 48.02 520.01 2388.20 8141.03 8.4715 0.03 395 2388 100.00 38.67 23.1415  
4145,20 213 0.0039 -0.0005 100.0 518.67 643.61 1600.96 1426.23 14.62 21.61 551.96 2388.19 9067.78 1.30 48.04 520.45 2388.22 8148.33 8.5071 0.03 394 2388 100.00 38.69 23.1659  
4146,20 214 0.0016 -0.0005 100.0 518.67 643.60 1598.48 1423.82 14.62 21.61 551.90 2388.22 9071.33 1.30 47.96 519.91 2388.26 8143.42 8.5085 0.03 396 2388 100.00 38.55 22.9923  
4147,20 215 -0.0037 0.0002 100.0 518.67 643.71 1600.26 1427.83 14.62 21.61 551.37 2388.20 9069.39 1.30 47.95 520.48 2388.20 8143.73 8.5027 0.03 397 2388 100.00 38.42 23.1000  
4148,20 216 -0.0008 -0.0001 100.0 518.67 643.72 1602.51 1426.99 14.62 21.61 551.65 2388.21 9067.06 1.30 48.01 520.13 2388.21 8144.86 8.5006 0.03 395 2388 100.00 38.64 23.0235  
4149,20 217 0.0001 0.0003 100.0 518.67 644.12 1600.51 1419.65 14.62 21.61 552.47 2388.25 9061.66 1.30 48.00 520.34 2388.22 8149.11 8.5402 0.03 395 2388 100.00 38.51 23.1025  
4150,20 218 -0.0021 0.0001 100.0 518.67 643.51 1597.19 1426.75 14.62 21.61 551.55 2388.20 9063.10 1.30 47.95 519.41 2388.24 8144.85 8.5070 0.03 395 2388 100.00 38.49 23.0600  
4151,20 219 0.0005 -0.0003 100.0 518.67 643.36 1600.44 1424.92 14.62 21.61 551.97 2388.22 9067.70 1.30 47.94 520.04 2388.20 8145.75 8.4880 0.03 396 2388 100.00 38.30 23.1529  
4152,20 220 -0.0018 0.0003 100.0 518.67 643.41 1594.88 1426.76 14.62 21.61 552.72 2388.26 9077.09 1.30 47.99 519.72 2388.23 8144.47 8.5325 0.03 396 2388 100.00 38.64 23.1548  
4153,20 221 0.0002 0.0004 100.0 518.67 643.17 1601.99 1417.47 14.62 21.61 552.29 2388.17 9073.09 1.30 48.05 519.29 2388.20 8143.57 8.5172 0.03 395 2388 100.00 38.71 23.0966  
4154,20 222 0.0033 0.0004 100.0 518.67 643.52 1597.12 1425.51 14.62 21.61 551.92 2388.21 9070.27 1.30 48.13 520.07 2388.28 8149.67 8.4841 0.03 394 2388 100.00 38.35 23.1370  
4155,20 223 -0.0023 -0.0004 100.0 518.67 643.47 1600.60 1433.50 14.62 21.61 551.66 2388.18 9074.17 1.30 48.00 520.09 2388.21 8141.72 8.5054 0.03 395 2388 100.00 38.51 23.0636  
4156,20 224 -0.0009 0.0003 100.0 518.67 643.13 1599.29 1417.01 14.62 21.61 552.30 2388.23 9072.11 1.30 47.94 519.44 2388.20 8146.11 8.5140 0.03 397 2388 100.00 38.56 23.1708  
4157,20 225 -0.0004 0.0003 100.0 518.67 643.89 1595.15 1420.89 14.62 21.61 550.43 2388.22 9076.79 1.30 48.09 519.92 2388.27 8147.28 8.4936 0.03 395 2388 100.00 38.47 23.0928  
4158,20 226 -0.0020 -0.0000 100.0 518.67 643.49 1597.07 1425.52 14.62 21.61 551.51 2388.23 9074.17 1.30 48.04 520.10 2388.24 8140.46 8.5100 0.03 395 2388 100.00 38.61 23.1189  
4159,20 227 -0.0021 -0.0002 100.0 518.67 643.30 1600.38 1426.90 14.62 21.61 551.86 2388.18 9068.48 1.30 48.19 520.43 2388.25 8139.99 8.5451 0.03 396 2388 100.00 38.43 23.0524  
4160,20 228 0.0009 0.0005 100.0 518.67 644.03 1592.36 1423.29 14.62 21.61 550.78 2388.19 9073.60 1.30 47.99 520.05 2388.22 8145.38 8.5072 0.03 395 2388 100.00 38.58 23.1634  
4161,20 229 -0.0012 0.0005 100.0 518.67 643.34 1597.71 1429.25 14.62 21.61 551.15 2388.23 9078.22 1.30 48.21 520.01 2388.22 8149.06 8.4967 0.03 395 2388 100.00 38.38 23.0636  
4162,20 230 -0.0010 -0.0000 100.0 518.67 643.57 1605.67 1431.45 14.62 21.61 552.20 2388.24 9072.49 1.30 48.16 520.12 2388.24 8144.08 8.4887 0.03 396 2388 100.00 38.60 23.1231  
4163,20 231 0.0022 -0.0003 100.0 518.67 643.89 1603.35 1429.72 14.62 21.61 550.84 2388.22 9075.48 1.30 48.41 519.74 2388.22 8146.48 8.4800 0.03 397 2388 100.00 38.74 22.9885  
4164,20 232 -0.0003 0.0000 100.0 518.67 643.85 1608.02 1432.08 14.62 21.61 551.34 2388.27 9075.69 1.30 48.17 519.28 2388.29 8139.51 8.5230 0.03 397 2388 100.00 38.33 23.1460  
4165,20 233 -0.0012 -0.0001 100.0 518.67 643.93 1601.90 1437.23 14.62 21.61 551.67 2388.26 9077.16 1.30 48.23 519.97 2388.23 8143.94 8.5058 0.03 396 2388 100.00 38.46 22.9783  
4166,20 234 0.0011 -0.0004 100.0 518.67 643.86 1598.43 1430.93 14.62 21.61 551.74 2388.30 9070.66 1.30 48.15 519.73 2388.25 8143.30 8.5433 0.03 397 2388 100.00 38.57 22.9964  
4167,21 1 -0.0017 -0.0005 100.0 518.67 642.24 1582.88 1410.66 14.62 21.61 553.57 2388.07 9047.42 1.30 47.44 521.76 2388.06 8128.48 8.4181 0.03 395 2388 100.00 38.90 23.3554  
4168,21 2 -0.0013 0.0004 100.0 518.67 642.27 1582.13 1404.54 14.62 21.61 553.22 2388.03 9043.88 1.30 47.25 521.39 2388.05 8120.15 8.3895 0.03 392 2388 100.00 38.81 23.2300  
4169,21 3 0.0025 -0.0003 100.0 518.67 642.47 1589.73 1408.88 14.62 21.61 553.21 2388.11 9048.33 1.30 47.43 521.26 2388.12 8124.89 8.4454 0.03 392 2388 100.00 38.69 23.3471  
4170,21 4 0.0013 -0.0003 100.0 518.67 642.50 1587.18 1409.45 14.62 21.61 553.30 2388.05 9052.17 1.30 47.35 521.81 2388.08 8126.21 8.3913 0.03 393 2388 100.00 39.00 23.4179  
4171,21 5 -0.0006 -0.0002 100.0 518.67 642.21 1596.51 1401.46 14.62 21.61 553.03 2388.04 9047.48 1.30 47.57 521.82 2388.10 8130.92 8.4825 0.03 393 2388 100.00 38.88 23.2637  
4172,21 6 0.0061 0.0000 100.0 518.67 642.37 1592.15 1401.04 14.62 21.61 553.95 2388.06 9048.37 1.30 47.46 521.70 2387.98 8130.70 8.4145 0.03 391 2388 100.00 38.95 23.4954  
4173,21 7 -0.0009 0.0004 100.0 518.67 642.45 1593.79 1397.77 14.62 21.61 553.21 2388.08 9045.96 1.30 47.32 521.50 2388.10 8134.62 8.4465 0.03 392 2388 100.00 38.94 23.3536  
4174,21 8 0.0016 0.0002 100.0 518.67 642.44 1585.67 1407.80 14.62 21.61 553.48 2388.16 9050.91 1.30 47.40 521.96 2388.06 8129.22 8.4318 0.03 392 2388 100.00 38.91 23.3867  
4175,21 9 0.0001 -0.0004 100.0 518.67 641.91 1590.36 1402.62 14.62 21.61 553.00 2388.10 9049.76 1.30 47.38 522.04 2388.10 8127.36 8.4487 0.03 391 2388 100.00 39.03 23.2562  
4176,21 10 -0.0055 -0.0002 100.0 518.67 642.25 1582.71 1404.60 14.62 21.61 552.57 2388.07 9045.19 1.30 47.34 521.46 2388.09 8128.64 8.4286 0.03 392 2388 100.00 38.81 23.2975  
4177,21 11 0.0023 0.0003 100.0 518.67 642.51 1585.70 1403.51 14.62 21.61 554.37 2388.12 9042.53 1.30 47.39 522.17 2388.12 8128.12 8.4436 0.03 392 2388 100.00 38.81 23.4113  
4178,21 12 0.0063 -0.0000 100.0 518.67 642.02 1590.84 1398.53 14.62 21.61 553.55 2388.07 9037.63 1.30 47.52 522.01 2388.07 8132.49 8.4336 0.03 392 2388 100.00 39.01 23.3711  
4179,21 13 -0.0002 0.0003 100.0 518.67 642.49 1587.28 1405.33 14.62 21.61 553.23 2388.04 9044.07 1.30 47.52 522.04 2388.13 8128.52 8.4550 0.03 392 2388 100.00 38.89 23.3916  
4180,21 14 0.0010 -0.0003 100.0 518.67 642.76 1589.09 1408.25 14.62 21.61 553.68 2388.11 9039.23 1.30 47.43 522.27 2388.08 8126.26 8.4237 0.03 391 2388 100.00 38.93 23.3790  
4181,21 15 -0.0022 0.0002 100.0 518.67 642.63 1587.31 1400.25 14.62 21.61 553.46 2388.10 9046.51 1.30 47.54 521.56 2388.12 8130.06 8.4479 0.03 393 2388 100.00 38.89 23.3710  
4182,21 16 0.0001 -0.0004 100.0 518.67 642.53 1591.64 1403.06 14.62 21.61 553.67 2388.04 9043.00 1.30 47.50 521.48 2388.11 8124.50 8.4599 0.03 394 2388 100.00 38.96 23.3728  
4183,21 17 -0.0049 -0.0005 100.0 518.67 642.42 1581.82 1402.04 14.62 21.61 554.46 2388.07 9048.32 1.30 47.51 521.34 2388.10 8127.03 8.3877 0.03 392 2388 100.00 38.79 23.3632  
4184,21 18 -0.0020 0.0000 100.0 518.67 642.83 1588.93 1404.68 14.62 21.61 553.92 2388.13 9043.56 1.30 47.50 521.43 2388.07 8128.01 8.4060 0.03 392 2388 100.00 38.92 23.3570  
4185,21 19 0.0004 -0.0002 100.0 518.67 641.95 1587.76 1405.51 14.62 21.61 554.13 2388.10 9041.95 1.30 47.31 521.90 2388.10 8122.40 8.4181 0.03 393 2388 100.00 38.98 23.3561  
4186,21 20 -0.0015 0.0002 100.0 518.67 642.15 1585.71 1406.40 14.62 21.61 553.98 2388.15 9044.17 1.30 47.26 522.29 2388.09 8126.48 8.4522 0.03 392 2388 100.00 38.83 23.4062  
4187,21 21 0.0018 0.0002 100.0 518.67 643.19 1585.38 1402.15 14.62 21.61 553.49 2388.12 9050.29 1.30 47.41 521.69 2388.07 8128.46 8.4304 0.03 393 2388 100.00 38.89 23.3401  
4188,21 22 0.0021 -0.0004 100.0 518.67 642.10 1588.54 1402.64 14.62 21.61 553.92 2388.13 9040.15 1.30 47.16 521.86 2388.06 8129.30 8.4256 0.03 390 2388 100.00 38.87 23.3760  
4189,21 23 -0.0006 -0.0005 100.0 518.67 642.44 1592.31 1410.76 14.62 21.61 553.72 2388.09 9045.41 1.30 47.41 521.40 2388.10 8126.88 8.4147 0.03 392 2388 100.00 38.90 23.2788  
4190,21 24 -0.0032 0.0003 100.0 518.67 642.27 1587.87 1409.06 14.62 21.61 553.36 2388.16 9042.55 1.30 47.40 521.74 2388.12 8129.95 8.4303 0.03 393 2388 100.00 38.69 23.3584  
4191,21 25 0.0029 -0.0004 100.0 518.67 642.84 1582.84 1410.79 14.62 21.61 553.97 2388.12 9042.82 1.30 47.65 521.51 2388.09 8126.17 8.4385 0.03 393 2388 100.00 38.90 23.2132  
4192,21 26 -0.0007 -0.0002 100.0 518.67 642.64 1581.12 1405.47 14.62 21.61 553.63 2388.06 9049.68 1.30 47.59 521.60 2388.12 8126.36 8.4090 0.03 393 2388 100.00 38.72 23.3239  
4193,21 27 -0.0006 -0.0002 100.0 518.67 642.29 1587.82 1401.12 14.62 21.61 552.92 2388.04 9049.75 1.30 47.34 522.11 2388.12 8127.71 8.4218 0.03 393 2388 100.00 38.97 23.4011  
4194,21 28 0.0007 0.0004 100.0 518.67 642.45 1583.56 1408.53 14.62 21.61 553.39 2388.13 9050.08 1.30 47.32 521.97 2388.10 8125.51 8.3869 0.03 393 2388 100.00 38.96 23.3508  
4195,21 29 0.0034 -0.0004 100.0 518.67 642.73 1585.45 1404.01 14.62 21.61 553.64 2388.09 9046.99 1.30 47.36 521.57 2388.06 8124.32 8.4112 0.03 392 2388 100.00 38.85 23.2393  
4196,21 30 0.0024 0.0001 100.0 518.67 642.84 1586.27 1406.22 14.62 21.61 554.25 2388.11 9043.42 1.30 47.32 521.89 2388.07 8131.47 8.4284 0.03 392 2388 100.00 38.86 23.2930  
4197,21 31 0.0034 -0.0002 100.0 518.67 642.64 1589.99 1402.34 14.62 21.61 553.46 2388.10 9053.49 1.30 47.50 521.70 2388.12 8129.68 8.4407 0.03 393 2388 100.00 38.77 23.4134  
4198,21 32 0.0005 -0.0000 100.0 518.67 642.32 1589.92 1408.92 14.62 21.61 554.20 2388.12 9038.30 1.30 47.34 521.96 2388.12 8118.42 8.3924 0.03 392 2388 100.00 38.93 23.2255  
4199,21 33 -0.0031 -0.0001 100.0 518.67 642.08 1581.76 1408.28 14.62 21.61 554.06 2388.09 9051.79 1.30 47.35 521.57 2388.09 8127.57 8.3731 0.03 393 2388 100.00 38.63 23.3466  
4200,21 34 -0.0006 -0.0002 100.0 518.67 642.28 1597.13 1400.84 14.62 21.61 553.33 2388.08 9051.12 1.30 47.46 521.41 2388.12 8127.02 8.4478 0.03 393 2388 100.00 38.97 23.3189  
4201,21 35 0.0016 0.0001 100.0 518.67 642.73 1590.73 1401.12 14.62 21.61 553.35 2388.09 9049.13 1.30 47.47 521.84 2388.13 8126.07 8.4416 0.03 393 2388 100.00 38.88 23.3107  
4202,21 36 0.0008 0.0003 100.0 518.67 642.53 1582.95 1401.12 14.62 21.61 553.08 2388.07 9048.52 1.30 47.45 520.98 2388.12 8131.10 8.4310 0.03 394 2388 100.00 38.96 23.2136  
4203,21 37 0.0057 -0.0004 100.0 518.67 643.21 1595.24 1405.24 14.62 21.61 552.95 2388.09 9041.04 1.30 47.42 521.39 2388.04 8132.82 8.4388 0.03 393 2388 100.00 38.85 23.2727  
4204,21 38 -0.0010 -0.0003 100.0 518.67 642.04 1582.53 1400.66 14.62 21.61 553.46 2388.12 9043.52 1.30 47.42 522.20 2388.08 8127.45 8.4199 0.03 393 2388 100.00 38.86 23.3196  
4205,21 39 0.0007 -0.0005 100.0 518.67 642.51 1586.69 1405.01 14.62 21.61 554.52 2388.10 9052.32 1.30 47.46 521.63 2388.14 8124.95 8.4379 0.03 393 2388 100.00 38.78 23.3499  
4206,21 40 -0.0014 -0.0002 100.0 518.67 642.65 1586.32 1398.67 14.62 21.61 553.61 2388.08 9055.92 1.30 47.51 521.77 2388.14 8128.26 8.4254 0.03 393 2388 100.00 38.62 23.3940  
4207,21 41 -0.0012 0.0003 100.0 518.67 642.10 1588.23 1401.58 14.62 21.61 553.76 2388.09 9048.62 1.30 47.50 521.87 2388.05 8131.53 8.4395 0.03 392 2388 100.00 39.01 23.3604  
4208,21 42 -0.0024 0.0003 100.0 518.67 642.53 1596.99 1400.72 14.62 21.61 553.40 2388.12 9045.59 1.30 47.42 521.56 2388.14 8131.82 8.4177 0.03 392 2388 100.00 38.81 23.4489  
4209,21 43 -0.0005 0.0002 100.0 518.67 642.72 1584.21 1405.94 14.62 21.61 553.42 2388.09 9054.27 1.30 47.44 521.26 2388.04 8133.83 8.4136 0.03 393 2388 100.00 39.02 23.3642  
4210,21 44 0.0009 -0.0004 100.0 518.67 642.46 1595.14 1412.08 14.62 21.61 554.11 2388.08 9047.38 1.30 47.35 521.55 2388.09 8127.40 8.4591 0.03 392 2388 100.00 38.84 23.3592  
4211,21 45 0.0032 -0.0001 100.0 518.67 642.43 1591.92 1404.43 14.62 21.61 553.74 2388.08 9049.47 1.30 47.57 521.53 2388.09 8131.89 8.4119 0.03 393 2388 100.00 38.66 23.3137  
4212,21 46 0.0029 0.0004 100.0 518.67 642.00 1590.29 1408.04 14.62 21.61 553.41 2388.07 9045.24 1.30 47.30 521.57 2388.12 8129.60 8.4398 0.03 392 2388 100.00 38.96 23.3516  
4213,21 47 0.0006 0.0001 100.0 518.67 642.55 1582.16 1398.94 14.62 21.61 553.09 2388.09 9052.15 1.30 47.40 521.73 2388.10 8125.54 8.4077 0.03 393 2388 100.00 38.84 23.2186  
4214,21 48 0.0020 0.0004 100.0 518.67 642.50 1593.16 1401.35 14.62 21.61 553.41 2388.11 9046.60 1.30 47.12 521.80 2388.09 8129.73 8.4014 0.03 394 2388 100.00 38.92 23.3378  
4215,21 49 -0.0026 0.0003 100.0 518.67 642.37 1594.76 1407.76 14.62 21.61 553.32 2388.10 9049.62 1.30 47.52 521.14 2388.04 8128.66 8.4237 0.03 393 2388 100.00 38.94 23.3914  
4216,21 50 -0.0007 -0.0001 100.0 518.67 642.43 1584.03 1414.56 14.62 21.61 553.61 2388.06 9049.75 1.30 47.33 521.54 2388.06 8135.80 8.4437 0.03 393 2388 100.00 38.98 23.4042  
4217,21 51 0.0009 -0.0003 100.0 518.67 642.03 1592.94 1399.54 14.62 21.61 553.46 2388.01 9044.56 1.30 47.46 521.13 2388.05 8127.58 8.4514 0.03 392 2388 100.00 38.62 23.3821  
4218,21 52 0.0001 0.0004 100.0 518.67 642.81 1583.60 1403.19 14.62 21.61 553.54 2388.11 9047.90 1.30 47.36 521.55 2388.14 8128.91 8.4581 0.03 394 2388 100.00 38.75 23.3821  
4219,21 53 -0.0012 -0.0000 100.0 518.67 642.40 1582.63 1405.10 14.62 21.61 552.90 2388.11 9046.33 1.30 47.47 521.20 2388.09 8126.58 8.4335 0.03 392 2388 100.00 39.11 23.2212  
4220,21 54 0.0002 0.0002 100.0 518.67 642.98 1594.87 1406.78 14.62 21.61 553.36 2388.02 9048.55 1.30 47.32 521.78 2388.10 8133.73 8.4836 0.03 393 2388 100.00 38.96 23.3449  
4221,21 55 0.0006 0.0003 100.0 518.67 642.52 1590.47 1402.69 14.62 21.61 554.54 2388.09 9050.03 1.30 47.39 522.12 2388.08 8127.03 8.4089 0.03 393 2388 100.00 38.83 23.2837  
4222,21 56 -0.0015 -0.0006 100.0 518.67 642.67 1587.03 1406.29 14.62 21.61 553.48 2388.14 9058.20 1.30 47.55 520.94 2388.08 8125.26 8.4068 0.03 393 2388 100.00 38.89 23.3480  
4223,21 57 -0.0002 -0.0001 100.0 518.67 642.82 1587.86 1404.03 14.62 21.61 553.45 2388.10 9050.02 1.30 47.48 521.54 2388.05 8127.26 8.4602 0.03 393 2388 100.00 39.11 23.3253  
4224,21 58 0.0006 0.0001 100.0 518.67 643.13 1592.22 1408.52 14.62 21.61 554.04 2388.07 9055.29 1.30 47.35 521.54 2388.07 8136.97 8.4096 0.03 392 2388 100.00 38.93 23.3003  
4225,21 59 -0.0021 -0.0005 100.0 518.67 642.75 1588.77 1402.77 14.62 21.61 553.94 2388.13 9049.83 1.30 47.39 522.19 2388.11 8130.28 8.4130 0.03 393 2388 100.00 38.83 23.3805  
4226,21 60 -0.0015 0.0002 100.0 518.67 642.29 1589.28 1401.51 14.62 21.61 553.76 2388.16 9053.13 1.30 47.42 522.20 2388.10 8126.37 8.4244 0.03 394 2388 100.00 38.94 23.2907  
4227,21 61 0.0026 0.0002 100.0 518.67 642.60 1581.56 1412.49 14.62 21.61 552.64 2388.06 9050.53 1.30 47.53 522.43 2388.08 8133.14 8.4120 0.03 393 2388 100.00 38.56 23.4913  
4228,21 62 -0.0007 0.0001 100.0 518.67 643.14 1590.70 1403.58 14.62 21.61 553.08 2388.11 9046.72 1.30 47.58 521.39 2388.07 8127.76 8.4275 0.03 393 2388 100.00 38.73 23.3659  
4229,21 63 0.0003 -0.0000 100.0 518.67 642.53 1590.99 1406.93 14.62 21.61 553.27 2388.08 9049.11 1.30 47.41 521.71 2388.05 8125.43 8.4582 0.03 394 2388 100.00 38.85 23.3362  
4230,21 64 0.0024 0.0004 100.0 518.67 642.66 1588.11 1406.90 14.62 21.61 554.10 2388.10 9043.40 1.30 47.44 521.78 2388.10 8128.01 8.4348 0.03 392 2388 100.00 38.98 23.2737  
4231,21 65 -0.0003 -0.0006 100.0 518.67 642.67 1586.79 1404.30 14.62 21.61 553.45 2388.09 9050.94 1.30 47.60 521.67 2388.11 8127.96 8.4376 0.03 392 2388 100.00 38.89 23.3527  
4232,21 66 0.0012 -0.0000 100.0 518.67 642.45 1590.71 1404.86 14.62 21.61 554.03 2388.14 9051.43 1.30 47.54 521.70 2388.13 8134.63 8.4070 0.03 392 2388 100.00 38.76 23.2898  
4233,21 67 -0.0042 0.0002 100.0 518.67 642.49 1593.55 1414.14 14.62 21.61 554.28 2388.06 9053.58 1.30 47.53 521.71 2388.09 8134.64 8.4219 0.03 392 2388 100.00 38.77 23.2420  
4234,21 68 -0.0033 -0.0005 100.0 518.67 643.26 1586.87 1410.93 14.62 21.61 553.82 2388.12 9041.37 1.30 47.23 521.50 2388.08 8129.70 8.4431 0.03 394 2388 100.00 38.77 23.2905  
4235,21 69 -0.0020 -0.0005 100.0 518.67 642.06 1587.76 1396.35 14.62 21.61 554.06 2388.13 9041.28 1.30 47.40 521.73 2388.11 8131.32 8.4416 0.03 393 2388 100.00 39.10 23.2483  
4236,21 70 0.0011 0.0003 100.0 518.67 642.73 1586.85 1402.56 14.62 21.61 553.03 2388.08 9050.09 1.30 47.45 521.69 2388.10 8129.79 8.3967 0.03 394 2388 100.00 38.68 23.3254  
4237,21 71 0.0006 0.0002 100.0 518.67 642.26 1585.99 1397.76 14.62 21.61 554.18 2388.05 9052.09 1.30 47.49 521.76 2388.11 8131.85 8.4251 0.03 393 2388 100.00 39.00 23.2905  
4238,21 72 0.0008 0.0003 100.0 518.67 643.10 1585.32 1406.90 14.62 21.61 553.58 2388.11 9052.72 1.30 47.39 521.57 2388.11 8125.56 8.4375 0.03 393 2388 100.00 38.86 23.2478  
4239,21 73 -0.0031 -0.0000 100.0 518.67 642.74 1589.44 1407.22 14.62 21.61 553.69 2388.09 9047.16 1.30 47.46 521.13 2388.12 8123.62 8.4330 0.03 392 2388 100.00 38.85 23.3874  
4240,21 74 -0.0021 0.0004 100.0 518.67 642.43 1585.10 1408.69 14.62 21.61 553.75 2388.10 9048.56 1.30 47.53 521.87 2388.17 8130.81 8.4250 0.03 392 2388 100.00 39.08 23.2649  
4241,21 75 0.0003 0.0001 100.0 518.67 642.68 1592.71 1406.20 14.62 21.61 553.21 2388.09 9049.69 1.30 47.54 521.15 2388.05 8131.38 8.4841 0.03 393 2388 100.00 39.05 23.3812  
4242,21 76 0.0009 -0.0005 100.0 518.67 642.58 1587.40 1408.39 14.62 21.61 553.19 2388.14 9046.20 1.30 47.49 521.89 2388.06 8128.35 8.4464 0.03 393 2388 100.00 38.75 23.1965  
4243,21 77 0.0008 0.0004 100.0 518.67 643.09 1588.50 1402.87 14.62 21.61 553.99 2388.11 9053.52 1.30 47.20 521.45 2388.08 8132.92 8.4159 0.03 394 2388 100.00 38.90 23.2782  
4244,21 78 -0.0029 -0.0002 100.0 518.67 642.46 1587.30 1406.44 14.62 21.61 553.25 2388.08 9055.41 1.30 47.45 521.97 2388.04 8131.95 8.4421 0.03 393 2388 100.00 38.98 23.3152  
4245,21 79 -0.0027 0.0003 100.0 518.67 642.35 1587.54 1404.29 14.62 21.61 553.57 2388.08 9066.32 1.30 47.57 521.80 2388.08 8134.23 8.4460 0.03 394 2388 100.00 38.98 23.3856  
4246,21 80 0.0024 0.0000 100.0 518.67 641.89 1586.50 1404.07 14.62 21.61 553.66 2388.09 9052.17 1.30 47.46 521.30 2388.10 8131.31 8.4235 0.03 394 2388 100.00 38.75 23.2610  
4247,21 81 -0.0007 -0.0005 100.0 518.67 642.87 1590.05 1409.83 14.62 21.61 553.75 2388.05 9049.55 1.30 47.67 521.87 2388.09 8141.13 8.3981 0.03 392 2388 100.00 38.72 23.2794  
4248,21 82 -0.0034 -0.0003 100.0 518.67 642.35 1587.53 1394.72 14.62 21.61 553.99 2388.10 9046.58 1.30 47.54 521.52 2388.09 8136.86 8.4631 0.03 392 2388 100.00 38.86 23.4203  
4249,21 83 0.0009 -0.0001 100.0 518.67 642.72 1588.82 1404.66 14.62 21.61 554.20 2388.11 9048.98 1.30 47.53 521.80 2388.08 8129.38 8.4247 0.03 391 2388 100.00 38.92 23.2468  
4250,21 84 0.0002 0.0003 100.0 518.67 642.06 1587.43 1403.28 14.62 21.61 554.30 2388.05 9053.42 1.30 47.46 521.27 2388.08 8130.74 8.4299 0.03 393 2388 100.00 38.87 23.3318  
4251,21 85 0.0028 0.0003 100.0 518.67 643.39 1582.96 1399.09 14.62 21.61 553.01 2388.09 9049.42 1.30 47.41 521.63 2388.14 8136.02 8.4246 0.03 393 2388 100.00 38.90 23.2879  
4252,21 86 0.0010 0.0003 100.0 518.67 643.03 1590.64 1409.81 14.62 21.61 553.63 2388.09 9041.50 1.30 47.44 521.47 2388.13 8128.06 8.3747 0.03 392 2388 100.00 38.85 23.3444  
